id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
242403, 55.9217,  6.8387,  1.0249,  0.4134,  1.2373,1037181700.0000, 91.3796,  0.0146, 45.7487, 69.0239
630781, 17.6669,-38.2464,  0.5299,  0.7334,  1.2424,2805243390.0000, 90.3129,  0.0157, 58.0125, 11.1661
645637, -4.0529, 10.4758,  0.8696,  0.0000,  3.4557,1459761020.0000, 57.8681,  0.0144, 90.1954, 42.6454
655366, 77.0149, 32.2093,  0.2650,  1.5718,  1.4701,1780492030.0000, 70.2187,  0.0158,  5.9580, 93.5298
655555, 76.9623, 33.9521,  0.2963,  2.3828,  1.9742,2774905090.0000, 69.3366,  0.0131,  6.4215, 94.9733
656028, 76.7822, 32.1866,  0.0315,  1.5604,  1.4701,1092067840.0000, 70.4603,  0.0132,  6.6666, 93.5251
973239,-10.7917, -5.2603,  0.0413,  1.7309,  2.4877,1564051070.0000, 58.0233,  0.0135, 85.0906, 24.6164
983785, 69.6372, 13.0410,  0.0785,  4.9859,  6.2213,1039448700.0000, 76.9730,  0.0124,  8.5831, 74.2066
1001280,-14.8264, 44.7776,  0.8557,  0.0000,  0.7776,1332567940.0000,  3.5934,  0.0135, 57.4127, 54.7118
1006130, 13.4842, 16.7641,  0.1453,  0.7682,  6.7038,3278809090.0000, 65.1359,  0.0138, 80.6470, 56.9473
1019827,-15.3182, 49.0147,  0.7549,  2.2250,  5.1221,1989688450.0000, 16.7588,  0.0136, 82.7109, 63.6866
1337769, 12.4711, -3.2019,  0.0416,  3.2952,  3.9150,3066397700.0000, 74.8855,  0.0168, 77.2785, 39.7986
1338445, 12.2035, -3.4713,  0.3715,  3.4833,  3.9150,1330057980.0000, 74.3199,  0.0139, 76.5495, 39.2376
1338946, 12.7664, -3.0635,  0.1399,  3.4223,  3.9150,1211834500.0000, 74.9939,  0.0145, 77.1287, 40.0675
1352805, -9.8916, 26.5132,  0.5322,  2.7729,  4.0057,1029116670.0000, 33.1269,  0.0107, 77.0826, 48.2786
1363183,-15.1400, 38.9121,  0.0406,  7.8209,  6.9515,4933458400.0000,  6.7494,  0.0180, 56.8977, 49.7753
1363576,-16.3217, 39.0793,  0.0319,  5.5341,  4.7820,2723692540.0000,  6.5764,  0.0175, 58.6205, 49.5307
1367583, 23.2547,-53.2728,  0.8197,  0.3309,  4.7657,1607715580.0000, 97.2258,  0.0149, 45.0294,  0.0001
1399316,-11.7911, 33.2967,  1.8189,  0.6241,  2.8797,2376117500.0000, 27.8675,  0.0133, 78.6847, 52.7268
1414578,-23.3549,-11.2158,  0.0930,  0.4333,  0.5178,2084719490.0000, 36.3945,  0.0133, 65.1547,  6.9100
1415409,-23.5535,-10.8866,  0.0000,  0.0000,  0.5178,2359349760.0000, 36.4313,  0.0142, 65.8471,  7.2004
1421963,-12.1293, 47.3823,  0.0938,  2.0110,  1.4856,3555026180.0000,  2.7291,  0.0148, 54.5253, 57.8625
1727247, 64.5467,  1.3063,  4.3381,  0.0396,  1.3015,5540513800.0000, 82.7279,  0.0134, 13.5734, 62.7956
1727932, 65.0679,  1.9782,  3.8252,  0.5194,  2.4457,1250082820.0000, 82.4914,  0.0121, 13.0769, 63.5514
1728505, 63.6953,  1.4698,  4.1441,  0.0383,  2.4659,3347457540.0000, 82.1438,  0.0181, 14.1491, 62.4960
1744495,-13.4097, -1.1406,  2.8600,  1.0020,  3.9801,5215091700.0000, 42.3479,  0.0172, 69.0741, 22.3367
1755167, 21.0137,-17.2171,  0.5726,  2.6019,  2.7215,1222929790.0000, 60.3818,  0.0138, 27.7229, 22.7498
1762444,-26.8297, 22.0089,  2.5654,  1.0171,  5.1783,2044032260.0000, 29.6752,  0.0153, 93.3762, 37.3673
1772779, 69.4701, -4.6968,  0.0728,  0.2363,  1.8092,3542967040.0000, 83.5853,  0.0185,  1.3000, 58.4443
1773451, 69.7422, -4.8937,  0.0000,  0.0000,  1.8092,2810491650.0000, 83.7866,  0.0154,  0.9939, 58.3976
1783892, 50.0420, -0.7884,  0.3427,  2.3883,  3.4905,2213619460.0000, 79.4881,  0.0138, 28.8506, 55.1489
1786051, 54.7220,  4.1234,  1.0530,  0.0000,  1.5570,1326909700.0000, 91.7154,  0.0147, 45.4013, 66.0144
1787640,-32.3236, -1.2994,  0.5260,  4.1172,  2.5988,2310529020.0000, 23.4326,  0.0169, 68.9131,  9.6450
1787952,-31.9154, -1.0669,  0.0615,  4.0560,  2.5988,3398097150.0000, 23.6767,  0.0192, 68.8927, 10.0932
2044166,-28.7171,  3.9380,  0.0658,  1.4421,  9.0152,10198426600.0000, 19.5121,  0.0190, 62.5430, 14.6439
2044831,-28.7647,  3.3862,  0.2166,  1.5062,  9.0152,1205886720.0000, 20.0108,  0.0119, 62.8337, 14.2476
2046514,-34.1592, 40.5755,  0.4638,  0.3747,  3.1196,2474652160.0000,  0.9872,  0.0178, 79.0052, 43.7024
2047699, 32.9638, 28.8491,  0.4624,  1.0662,  1.8792,40612995000.0000, 72.8201,  0.0268, 74.5419, 77.9018
2049352, 33.1010, 28.3895,  0.0117,  0.9936,  1.8792,2373935360.0000, 73.4035,  0.0131, 74.7704, 77.6857
2051379,  4.5883, 15.7294,  0.0678,  5.4556,  7.3468,4830509100.0000, 47.8781,  0.0148, 66.7172, 46.9531
2059558,-21.9741, 32.5487,  2.6757,  0.0571,  0.8873,4306477100.0000, 17.3116,  0.0143, 77.3617, 45.0814
2059994,-20.9672, 32.4788,  2.8239,  0.0571,  0.8873,1672097020.0000, 18.5788,  0.0159, 77.6933, 45.7718
2061100, 33.5831, 38.1324,  3.8322, 10.8831, 13.4879,5952214000.0000, 60.1375,  0.0186, 63.3121, 82.9524
2061545, 33.9924, 38.7974,  3.3136, 10.8831, 13.4879,1307038210.0000, 60.0319,  0.0149, 63.1830, 83.7155
2061918, 33.8397, 38.2747,  3.7580, 10.8831, 13.4879,1269969020.0000, 60.0457,  0.0130, 62.9172, 83.1410
2062484, 35.8855,-14.3735,  0.0606,  0.0223,  0.3873,14873682900.0000, 74.5978,  0.0252, 29.5551, 35.2672
2063840,-17.8311, 47.9291,  1.1037,  0.0000,  3.2757,2034452990.0000, 15.2464,  0.0150, 83.1681, 61.2772
2064869, 50.6702, 43.3197,  0.7747,  0.4150,  1.7980,1421917950.0000, 59.4523,  0.0122, 41.0922, 93.0999
2067943,-22.1834, -7.2858,  0.0268,  2.5335,  2.8334,6010123300.0000, 38.7223,  0.0174, 70.8680, 12.1216
2083429, -7.6712, 44.5373,  2.3638,  2.7359,  7.1788,4414083100.0000, 32.8559,  0.0163, 91.2646, 67.2547
2096293,-42.6335, -3.6837,  0.0651,  1.2676,  8.4219,1074255100.0000, 32.3742,  0.0102, 96.2173,  7.3889
2097506,-22.3712, -8.5228,  0.1337,  1.9080,  3.4820,2033982080.0000, 53.1588,  0.0143, 92.1835, 16.0579
2097671,-22.2757, -7.9763,  0.0163,  4.1840,  0.9038,5959667200.0000, 52.9783,  0.0195, 92.3044, 16.5789
2108095, 13.8929,-41.8709,  2.2269,  1.3320,  2.0641,2572177150.0000, 91.6639,  0.0169, 62.2915,  6.8295
2108766, -8.0377, 18.2472,  0.1228,  1.4044,  2.2539,7190650900.0000, 39.1770,  0.0204, 75.2876, 42.5904
2109109, -7.7728, 17.7813,  0.2156,  1.0364,  2.2539,1334704000.0000, 39.4120,  0.0127, 74.7758, 42.2791
2109299, -8.3596, 18.1638,  0.0301,  1.4558,  2.2539,2415770370.0000, 39.1071,  0.0149, 75.5928, 42.3838
2111199, 14.2428,-36.2974,  0.4567,  1.3341,  3.0576,1132963580.0000, 90.7699,  0.0142, 65.9466, 12.3019
2111839,-27.3958, 46.9560,  1.7405,  0.0477,  1.1974,5365031900.0000,  3.9344,  0.0175, 79.5006, 53.3112
2112127,-27.1134, 46.4197,  1.7468,  0.5124,  0.4966,14911087600.0000,  4.2478,  0.0228, 79.0121, 52.9617
2114209, 15.7691, 19.1924,  0.0017,  5.8237,  6.7038,3770082050.0000, 65.8224,  0.0178, 80.6103, 60.3595
2119506, 44.5479,-47.7915,  0.3083,  4.3021, 16.3634,1152456190.0000, 91.1147,  0.0117,  8.2498,  9.7273
2120454,-27.5106,-10.3312,  0.1243,  2.8261,  2.8334,16845786100.0000, 47.2581,  0.0202, 89.2011, 10.5289
2121411,-28.1402,-10.5333,  0.0119,  1.8830,  2.8334,1567134590.0000, 46.6036,  0.0134, 88.9606,  9.8964
2121657,-27.5904,-10.7761,  0.2797,  1.7535,  2.8334,5757871600.0000, 47.4590,  0.0186, 89.1891, 10.1238
2122834, 39.2008, 11.1169,  0.1188,  3.3033,  5.0436,7791466000.0000, 75.4492,  0.0191, 51.2459, 62.6057
2123500, 38.7324, 11.1819,  0.1085,  3.3089,  5.0436,2115586300.0000, 75.1855,  0.0130, 51.6267, 62.4364
2287113, 19.9964,  4.1115,  0.0606,  1.0646,  1.5865,2714240510.0000, 56.7582,  0.0172, 45.0322, 42.9149
2289041, 12.9228, 60.2511,  0.2847,  3.0672,  9.1148,2058114940.0000, 39.4981,  0.0134, 85.4630, 91.8693
2289314, 13.2360, 60.2563,  0.3682,  2.8912,  9.1148,1163819260.0000, 39.7051,  0.0118, 85.3045, 92.0435
2289704,-12.3939,  6.2246,  0.1120,  5.3202,  9.6264,9546895400.0000, 53.9845,  0.0151, 92.8180, 34.4002
2290885,-12.4586,  5.9401,  0.0841,  5.2045,  9.6264,3330842620.0000, 53.9747,  0.0147, 92.6182, 34.0867
2296001,  3.3378, 56.9632,  0.1147,  2.9303,  0.8074,1809824380.0000, 33.1199,  0.0127, 87.1204, 83.3289
2301420,  1.8882, 53.5563,  0.4360,  7.7537,  0.8074,1478061570.0000, 32.8973,  0.0114, 85.6057, 79.3350
2301636,  1.4673, 54.2898,  0.4074,  7.6927,  0.8074,1386240130.0000, 32.0971,  0.0108, 85.7541, 79.6675
2314787,-45.2859, -2.7807,  1.9330,  0.0000,  8.4219,5675390000.0000, 12.0052,  0.0245, 69.7990,  0.1042
