id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag
11878617,4.02126771E9,58.216297,0.53589755,3.03328461E9,9.7131225E10,4.12299034E9,0.016176084,0.024480741,0.003131467,0.0106111495,0.69877344,76.318184,23.443697,73.83751,0,367.2464899423819,3.41559345E11,27000000003876,2.1055586E-5,4.9465165E-5,7.715595E-5,1.0303328E-4,1.1723863E-4
11869710,6.3927905E9,64.330215,0.21462119,1.82969626E9,1.19502225E11,6.4336998E9,0.019804314,0.041906707,0.009868475,0.016792618,0.6578752,24.907055,7.181756,7.1790953,0,195.06622473214065,3.41615411E11,27000000004160,9.265083E-6,3.114243E-5,6.317646E-5,8.779554E-5,1.12903566E-4
13824487,5.258645E9,61.85437,0.7059298,2.27767808E9,1.22994631E11,5.4734546E9,0.017303158,0.02908248,0.014120469,0.01244685,0.6880485,80.43872,94.404396,45.909977,1,449.9776730572307,3.41662138E11,27000000000166,2.8373586E-5,6.684617E-5,1.055355E-4,1.39136E-4,1.611358E-4
11849578,3.91881626E9,53.302082,0.33957827,3.27454003E9,9.6038748E10,3.98701568E9,0.015602591,0.033192538,0.0039022542,0.013837696,0.67806107,42.57049,75.98254,35.229446,0,399.0706586871553,3.41714895E11,27000000004021,1.2045623E-5,3.3931723E-5,6.26314E-5,8.6938344E-5,1.0642685E-4
11825992,5.898345E9,59.876797,0.25585905,3.09359411E9,1.12913146E11,5.9654697E9,0.017510656,0.040334813,0.00424069,0.016166797,0.6615878,92.14025,77.88145,49.15322,0,437.3298240458796,3.41742158E11,27000000004029,1.3073668E-5,3.979409E-5,7.6209384E-5,1.03053244E-4,1.2885132E-4
11715257,3.01774976E9,53.63035,0.28206384,4.623658E9,9.7921671E10,3.14465075E9,0.014271185,0.029897848,0.0015486819,0.012512282,0.68611205,65.37585,96.94175,10.825648,0,197.9724373176731,3.41743272E11,27000000003828,1.111402E-5,2.7962022E-5,4.749506E-5,6.319649E-5,7.577982E-5
9719374,3.17581645E9,52.829784,0.5868316,1.80391117E9,8.530319E10,3.28517325E9,0.014776118,0.025863832,0.006817623,0.011106748,0.69501334,68.05277,90.495285,36.101578,0,523.8404754789382,3.41891056E11,27000000001320,1.93295E-5,4.617879E-5,7.44792E-5,9.979887E-5,1.1400525E-4
11791551,6.5723238E9,68.01606,0.6631045,1.87293325E9,1.17020082E11,6.7492065E9,0.017636076,0.03273251,0.005332139,0.013795959,0.6788081,65.97937,55.815563,73.70147,0,437.0012156733663,3.41902328E11,27000000004019,1.69508E-5,5.3286756E-5,9.8681136E-5,1.3551417E-4,1.671614E-4
11603650,2.49213363E9,45.36108,0.26534545,2.25360102E9,8.2325496E10,2.63664128E9,0.014037888,0.029924437,0.003742635,0.0128568765,0.6862216,45.884937,79.04719,28.55075,0,200.65503085208206,3.41943976E11,27000000003846,1.0870107E-5,3.0180172E-5,5.1047005E-5,6.604817E-5,7.916154E-5
11852490,4.7366113E9,57.389206,0.4236832,8.5984506E8,9.8668904E10,4.8743741E9,0.018664295,0.046850313,0.0017224656,0.0192906,0.6461403,89.433624,71.24218,16.720348,0,267.9059857254033,3.42131606E11,27000000004056,8.620702E-6,3.317325E-5,6.706993E-5,8.993261E-5,1.1480888E-4
11623555,6.8371768E9,63.295242,0.6049754,7.0915907E9,1.14417926E11,7.0999962E9,0.017294751,0.027410557,0.00463674,0.011771166,0.6924479,0.9040938,76.37473,54.935204,0,713.2325400947436,3.42150906E11,27000000003605,3.3915145E-5,8.084304E-5,1.2889142E-4,1.6852048E-4,1.940139E-4
11331033,2.72277274E9,50.798992,0.2040621,1.68157402E9,8.1799897E10,2.79802982E9,0.01623802,0.037341837,0.001619341,0.014892704,0.66847,9.215877,79.91439,32.15796,0,551.6120693023313,3.42182658E11,27000000003694,6.4013952E-6,1.858978E-5,3.529098E-5,4.8809754E-5,6.1081235E-5
11797561,6.9202555E9,66.85169,0.29620618,1.6249792E9,1.21608864E11,7.037717E9,0.019249704,0.044382505,0.005285611,0.017635964,0.651826,64.76022,70.09403,13.481771,0,249.09958945921608,3.42465577E11,27000000003992,9.7326865E-6,3.2943328E-5,6.78457E-5,9.709227E-5,1.2706607E-4
11740130,5.1723484E9,58.65533,0.42361,1.4559575E9,9.0955817E10,5.3356083E9,0.016230054,0.039112832,0.003986875,0.016190298,0.6645155,44.292248,98.11416,39.524662,0,221.82841060152776,3.42688563E11,27000000003880,1.6296386E-5,4.958642E-5,8.99188E-5,1.2114401E-4,1.470337E-4
9607017,4.28230528E9,60.08537,0.45901385,5.5709686E9,1.10759313E11,4.5432509E9,0.014086861,0.027215334,0.003921408,0.011859531,0.69256717,73.49233,23.813572,20.183086,1,386.3534246645162,3.42908699E11,27000000001584,2.0175728E-5,5.299055E-5,8.8348184E-5,1.1442499E-4,1.3424593E-4
11159784,4.7168988E9,54.25095,0.37386099,5.2285548E9,1.05296232E11,4.7985372E9,0.016990231,0.028578965,0.0024351953,0.012098231,0.6890002,0.959723,69.75106,38.69953,0,562.4074923931935,3.42931243E11,27000000003823,1.7455732E-5,4.5700897E-5,7.804365E-5,1.0486483E-4,1.2418676E-4
11666849,5.2818995E9,59.170067,0.21697551,5.6808253E9,1.04917418E11,5.4164787E9,0.017537504,0.04361733,0.0023532568,0.017933853,0.65520537,75.35459,81.12167,45.659386,0,550.4518598388055,3.42990881E11,27000000003754,9.731849E-6,3.1448904E-5,6.2642495E-5,8.7179564E-5,1.11579604E-4
